Date/Time,Close,RSI15,RSI15-TA,diff
2022-01-03,477.71,59.83,100.0,-40.17
2022-01-04,477.55,59.64,0.0,59.64
2022-01-05,468.38,49.93,0.0,49.93
2022-01-06,467.94,49.51,0.0,49.51
2022-01-07,466.09,47.73,0.0,47.73
2022-01-10,465.51,47.15,0.0,47.15
2022-01-11,469.75,51.68,30.67,21.009999999999998
2022-01-12,471.02,52.98,36.89,16.089999999999996
2022-01-13,464.53,46.21,24.75,21.46
2022-01-14,464.72,46.42,25.51,20.91
2022-01-18,456.49,39.16,17.31,21.849999999999998
2022-01-19,451.75,35.72,14.44,21.28
2022-01-20,446.75,32.49,12.16,20.330000000000002
2022-01-21,437.98,27.77,9.38,18.39
2022-01-24,439.84,30.08,13.86,16.22
2022-01-25,434.47,27.37,12.02,15.350000000000001
2022-01-26,433.38,26.84,11.68,15.16
2022-01-27,431.24,25.8,11.03,14.770000000000001
2022-01-28,441.95,38.58,31.48,7.099999999999998
2022-01-31,449.91,45.99,42.08,3.9100000000000037
2022-02-01,452.95,48.53,45.53,3.0
2022-02-02,457.35,52.03,50.13,1.8999999999999986
2022-02-03,446.6,44.17,41.05,3.1200000000000045
2022-02-04,448.7,45.88,43.2,2.6799999999999997
2022-02-07,447.26,44.87,42.07,2.799999999999997
2022-02-08,450.94,48.0,45.94,2.0600000000000023
2022-02-09,457.54,53.13,52.09,1.0399999999999991
2022-02-10,449.32,46.95,45.23,1.720000000000006
2022-02-11,440.46,41.4,39.25,2.1499999999999986
2022-02-14,439.02,40.56,38.37,2.190000000000005
2022-02-15,446.1,46.28,44.9,1.3800000000000026
2022-02-16,446.6,46.66,45.33,1.3299999999999983
2022-02-17,437.06,40.66,39.0,1.6599999999999966
2022-02-18,434.23,39.07,37.34,1.7299999999999969
2022-02-22,429.57,36.53,34.73,1.8000000000000043
2022-02-23,421.95,32.81,30.95,1.860000000000003
2022-02-24,428.3,38.42,37.07,1.3500000000000014
2022-02-25,437.75,45.65,44.87,0.7800000000000011
2022-02-28,436.63,44.98,44.17,0.8099999999999952
2022-03-01,429.98,41.13,40.21,0.9200000000000017
2022-03-02,437.89,46.91,46.34,0.5699999999999932
2022-03-03,435.71,45.59,44.98,0.6100000000000065
2022-03-04,432.17,43.46,42.79,0.6700000000000017
2022-03-07,419.43,36.82,36.03,0.7899999999999991
2022-03-08,416.25,35.38,34.57,0.8100000000000023
2022-03-09,427.41,43.69,43.22,0.46999999999999886
2022-03-10,425.48,42.67,42.19,0.480000000000004
2022-03-11,420.07,39.88,39.36,0.5200000000000031
2022-03-14,417.0,38.36,37.82,0.5399999999999991
2022-03-15,426.17,45.07,44.75,0.3200000000000003
2022-03-16,435.62,50.97,50.8,0.1700000000000017
2022-03-17,441.07,54.02,53.91,0.11000000000000654
2022-03-18,444.52,55.88,55.81,0.07000000000000028
2022-03-21,444.39,55.79,55.72,0.07000000000000028
2022-03-22,449.59,58.68,58.66,0.020000000000003126
2022-03-23,443.8,54.44,54.35,0.0899999999999963
2022-03-24,450.49,58.18,58.16,0.020000000000003126
2022-03-25,452.69,59.36,59.35,0.00999999999999801
2022-03-28,455.91,61.08,61.09,-0.010000000000005116
2022-03-29,461.55,63.94,63.99,-0.05000000000000426
2022-03-30,458.7,61.49,61.51,-0.01999999999999602
2022-03-31,451.64,55.82,55.78,0.03999999999999915
2022-04-01,452.92,56.6,56.56,0.03999999999999915
2022-04-04,456.8,58.94,58.94,0.0
2022-04-05,451.03,54.27,54.22,0.05000000000000426
2022-04-06,446.52,50.89,50.81,0.0799999999999983
2022-04-07,448.77,52.47,52.41,0.060000000000002274
2022-04-08,447.57,51.52,51.46,0.060000000000002274
2022-04-11,439.92,45.86,45.76,0.10000000000000142
2022-04-12,438.29,44.74,44.63,0.10999999999999943
2022-04-13,443.31,48.87,48.8,0.07000000000000028
2022-04-14,437.79,44.91,44.83,0.0799999999999983
2022-04-18,437.97,45.07,44.98,0.09000000000000341
2022-04-19,445.04,50.89,50.85,0.03999999999999915
2022-04-20,444.71,50.63,50.58,0.05000000000000426
2022-04-21,438.06,45.45,45.38,0.07000000000000028
2022-04-22,426.04,37.94,37.85,0.0899999999999963
2022-04-25,428.51,40.12,40.04,0.0799999999999983
2022-04-26,416.1,33.74,33.65,0.09000000000000341
2022-04-27,417.27,34.79,34.71,0.0799999999999983
2022-04-28,427.81,43.42,43.37,0.05000000000000426
2022-04-29,412.0,35.8,35.75,0.04999999999999716
2022-05-02,414.48,37.64,37.59,0.04999999999999716
2022-05-03,416.38,39.07,39.03,0.03999999999999915
2022-05-04,429.06,47.67,47.64,0.030000000000001137
2022-05-05,413.81,40.33,40.3,0.030000000000001137
2022-05-06,411.34,39.29,39.26,0.030000000000001137
2022-05-09,398.17,34.21,34.17,0.03999999999999915
2022-05-10,399.09,34.84,34.8,0.04000000000000625
2022-05-11,392.75,32.53,32.5,0.030000000000001137
2022-05-12,392.34,32.39,32.35,0.03999999999999915
2022-05-13,401.72,39.18,39.16,0.020000000000003126
2022-05-16,400.09,38.46,38.44,0.020000000000003126
2022-05-17,408.32,44.03,44.01,0.020000000000003126
2022-05-18,391.86,36.88,36.86,0.020000000000003126
2022-05-19,389.46,35.97,35.95,0.01999999999999602
2022-05-20,389.63,36.09,36.07,0.020000000000003126
2022-05-23,396.92,41.15,41.14,0.00999999999999801
2022-05-24,393.89,39.75,39.74,0.00999999999999801
2022-05-25,397.37,42.18,42.16,0.020000000000003126
2022-05-26,405.31,47.36,47.35,0.00999999999999801
2022-05-27,415.26,53.01,53.0,0.00999999999999801
2022-05-31,412.93,51.62,51.61,0.00999999999999801
2022-06-01,409.59,49.62,49.61,0.00999999999999801
2022-06-02,417.39,54.07,54.07,0.0
2022-06-03,410.54,49.92,49.92,0.0
2022-06-06,411.79,50.66,50.66,0.0
2022-06-07,415.74,53.01,53.01,0.0
2022-06-08,411.22,50.08,50.08,0.0
2022-06-09,401.44,44.4,44.4,0.0
2022-06-10,389.8,38.79,38.78,0.00999999999999801
2022-06-13,375.0,33.09,33.08,0.010000000000005116
2022-06-14,373.87,32.7,32.69,0.010000000000005116
2022-06-15,379.2,36.51,36.5,0.00999999999999801
2022-06-16,366.65,31.95,31.94,0.00999999999999801
2022-06-17,365.86,31.68,31.67,0.00999999999999801
2022-06-21,375.07,38.14,38.13,0.00999999999999801
2022-06-22,374.39,37.85,37.85,0.0
2022-06-23,378.06,40.41,40.41,0.0
2022-06-24,390.08,47.93,47.93,0.0
2022-06-27,388.59,47.14,47.14,0.0
2022-06-28,380.65,43.09,43.08,0.010000000000005116
2022-06-29,380.34,42.93,42.93,0.0
2022-06-30,377.25,41.35,41.35,0.0
2022-07-01,381.24,44.2,44.19,0.010000000000005116
2022-07-05,381.96,44.71,44.71,0.0
2022-07-06,383.25,45.68,45.68,0.0
2022-07-07,388.99,49.88,49.87,0.010000000000005116
2022-07-08,388.67,49.65,49.65,0.0
2022-07-11,384.23,46.48,46.48,0.0
2022-07-12,380.83,44.16,44.16,0.0
2022-07-13,378.83,42.82,42.82,0.0
2022-07-14,377.91,42.19,42.19,0.0
2022-07-15,385.13,48.57,48.57,0.0
2022-07-18,381.95,46.17,46.17,0.0
2022-07-19,392.27,54.08,54.08,0.0
2022-07-20,394.77,55.77,55.77,0.0
2022-07-21,398.79,58.4,58.4,0.0
2022-07-22,395.09,55.16,55.16,0.0
2022-07-25,395.57,55.5,55.5,0.0
2022-07-26,390.89,51.4,51.4,0.0
2022-07-27,401.04,58.53,58.53,0.0
2022-07-28,406.07,61.52,61.53,-0.00999999999999801
2022-07-29,411.99,64.74,64.74,0.0
2022-08-01,410.77,63.57,63.57,0.0
2022-08-02,408.06,60.94,60.94,0.0
2022-08-03,414.45,64.63,64.63,0.0
2022-08-04,414.17,64.35,64.35,0.0
2022-08-05,413.47,63.59,63.59,0.0
2022-08-08,412.99,63.05,63.05,0.0
2022-08-09,411.35,61.15,61.15,0.0
2022-08-10,419.99,66.81,66.81,0.0
2022-08-11,419.99,66.81,66.81,0.0
2022-08-12,427.1,70.83,70.83,0.0
2022-08-15,428.86,71.74,71.74,0.0
2022-08-16,429.7,72.18,72.18,0.0
2022-08-17,426.65,68.03,68.03,0.0
2022-08-18,427.89,68.81,68.81,0.0
2022-08-19,422.14,61.37,61.37,0.0
2022-08-22,413.35,52.14,52.14,0.0
2022-08-23,412.35,51.2,51.2,0.0
2022-08-24,413.67,52.41,52.41,0.0
2022-08-25,419.51,57.42,57.42,0.0
2022-08-26,405.31,45.06,45.06,0.0
2022-08-29,402.63,43.18,43.18,0.0
2022-08-30,398.21,40.21,40.21,0.0
2022-08-31,395.18,38.28,38.28,0.0
2022-09-01,396.42,39.56,39.56,0.0
2022-09-02,392.24,36.81,36.81,0.0
2022-09-06,390.76,35.87,35.87,0.0
2022-09-07,397.78,43.26,43.26,0.0
2022-09-08,400.38,45.74,45.74,0.0
2022-09-09,406.6,51.21,51.21,0.0
2022-09-12,410.97,54.65,54.65,0.0
2022-09-13,393.1,41.75,41.75,0.0
2022-09-14,394.6,42.96,42.96,0.0
2022-09-15,390.12,40.28,40.28,0.0
2022-09-16,385.56,37.72,37.72,0.0
2022-09-19,388.55,40.38,40.38,0.0
2022-09-20,384.09,37.8,37.8,0.0
2022-09-21,377.39,34.27,34.26,0.010000000000005116
2022-09-22,374.22,32.72,32.72,0.0
2022-09-23,367.95,29.85,29.85,0.0
2022-09-26,364.31,28.31,28.31,0.0
2022-09-27,363.38,27.92,27.92,0.0
2022-09-28,370.53,35.34,35.34,0.0
2022-09-29,362.79,31.57,31.57,0.0
2022-09-30,357.18,29.15,29.15,0.0
2022-10-03,366.61,37.73,37.73,0.0
2022-10-04,377.97,46.15,46.15,0.0
2022-10-05,377.09,45.64,45.64,0.0
2022-10-06,373.2,43.36,43.36,0.0
2022-10-07,362.79,37.93,37.93,0.0
2022-10-10,360.02,36.62,36.62,0.0
2022-10-11,357.74,35.54,35.54,0.0
2022-10-12,356.56,34.97,34.97,0.0
2022-10-13,365.97,42.83,42.83,0.0
2022-10-14,357.63,38.42,38.42,0.0
2022-10-17,366.82,45.1,45.1,0.0
2022-10-18,371.13,47.93,47.93,0.0
2022-10-19,368.5,46.37,46.37,0.0
2022-10-20,365.41,44.53,44.53,0.0
2022-10-21,374.29,50.55,50.55,0.0
2022-10-24,378.87,53.34,53.34,0.0
2022-10-25,384.92,56.8,56.8,0.0
2022-10-26,382.02,54.72,54.72,0.0
2022-10-27,379.98,53.25,53.25,0.0
2022-10-28,389.02,58.54,58.54,0.0
2022-10-31,386.21,56.41,56.41,0.0
2022-11-01,384.52,55.12,55.12,0.0
2022-11-02,374.87,48.36,48.36,0.0
2022-11-03,371.01,45.94,45.94,0.0
2022-11-04,376.35,49.67,49.67,0.0
2022-11-07,379.95,52.06,52.06,0.0
2022-11-08,382.0,53.41,53.41,0.0
2022-11-09,374.13,47.87,47.87,0.0
2022-11-10,394.69,59.6,59.6,0.0
2022-11-11,398.51,61.33,61.33,0.0
2022-11-14,395.12,58.93,58.93,0.0
2022-11-15,398.49,60.57,60.57,0.0
2022-11-16,395.45,58.31,58.31,0.0
2022-11-17,394.24,57.4,57.4,0.0
2022-11-18,396.03,58.43,58.43,0.0
2022-11-21,394.59,57.24,57.24,0.0
2022-11-22,399.9,60.43,60.43,0.0
2022-11-23,402.42,61.88,61.88,0.0
2022-11-25,402.33,61.79,61.79,0.0
2022-11-28,395.91,55.83,55.83,0.0
2022-11-29,395.23,55.22,55.22,0.0
2022-11-30,407.68,63.07,63.07,0.0
2022-12-01,407.38,62.79,62.79,0.0
2022-12-02,406.91,62.32,62.32,0.0
2022-12-05,399.59,55.38,55.38,0.0
2022-12-06,393.83,50.63,50.63,0.0
2022-12-07,393.16,50.09,50.09,0.0
2022-12-08,396.24,52.57,52.57,0.0
2022-12-09,393.28,50.02,50.02,0.0
2022-12-12,398.95,54.54,54.54,0.0
