Ticker,Date/Time,close
B-VIETNAM,01/06/2022,9.61
B-VIETNAM,02/06/2022,9.58
B-VIETNAM,06/06/2022,9.61
B-VIETNAM,07/06/2022,9.68
B-VIETNAM,08/06/2022,9.79
B-VIETNAM,09/06/2022,9.76
B-VIETNAM,10/06/2022,9.72
B-VIETNAM,13/06/2022,9.33
B-VIETNAM,14/06/2022,9.35
B-VIETNAM,15/06/2022,9.35
B-VIETNAM,16/06/2022,9.49
B-VIETNAM,17/06/2022,9.44
B-VIETNAM,20/06/2022,9.20
B-VIETNAM,21/06/2022,9.19
B-VIETNAM,22/06/2022,9.19
B-VIETNAM,23/06/2022,9.24
B-VIETNAM,24/06/2022,9.24
B-VIETNAM,27/06/2022,9.34
B-VIETNAM,28/06/2022,9.37
B-VIETNAM,29/06/2022,9.37
B-VIETNAM,30/06/2022,9.34
B-VIETNAM,01/07/2022,9.37
B-VIETNAM,04/07/2022,9.35
B-VIETNAM,05/07/2022,9.27
B-VIETNAM,06/07/2022,9.11
B-VIETNAM,07/07/2022,9.26
B-VIETNAM,08/07/2022,9.23
B-VIETNAM,11/07/2022,9.13
B-VIETNAM,12/07/2022,9.20
B-VIETNAM,14/07/2022,9.27
B-VIETNAM,15/07/2022,9.28
B-VIETNAM,18/07/2022,9.26
B-VIETNAM,19/07/2022,9.21
B-VIETNAM,20/07/2022,9.38
B-VIETNAM,21/07/2022,9.50
B-VIETNAM,22/07/2022,9.47
B-VIETNAM,25/07/2022,9.44
B-VIETNAM,26/07/2022,9.48
B-VIETNAM,27/07/2022,9.52
B-VIETNAM,01/08/2022,9.64
B-VIETNAM,02/08/2022,9.72
B-VIETNAM,03/08/2022,9.79
B-VIETNAM,04/08/2022,9.75
B-VIETNAM,05/08/2022,9.58
B-VIETNAM,08/08/2022,9.66
B-VIETNAM,09/08/2022,9.57
B-VIETNAM,10/08/2022,9.61
B-VIETNAM,11/08/2022,9.50
B-VIETNAM,15/08/2022,9.72
B-VIETNAM,16/08/2022,9.72
B-VIETNAM,17/08/2022,9.76
B-VIETNAM,18/08/2022,9.81
B-VIETNAM,19/08/2022,9.75
B-VIETNAM,22/08/2022,9.85
B-VIETNAM,23/08/2022,9.86
B-VIETNAM,24/08/2022,9.85
B-VIETNAM,25/08/2022,9.89
B-VIETNAM,26/08/2022,9.94
B-VIETNAM,29/08/2022,9.95
B-VIETNAM,30/08/2022,10.00
B-VIETNAM,31/08/2022,9.99
B-VIETNAM,01/09/2022,10.04
B-VIETNAM,02/09/2022,10.05
B-VIETNAM,05/09/2022,10.00
B-VIETNAM,06/09/2022,9.99
B-VIETNAM,07/09/2022,9.78
B-VIETNAM,08/09/2022,9.68
B-VIETNAM,09/09/2022,9.75
B-VIETNAM,12/09/2022,9.78
B-VIETNAM,13/09/2022,9.75
B-VIETNAM,14/09/2022,9.73
B-VIETNAM,15/09/2022,9.77
B-VIETNAM,16/09/2022,9.73
B-VIETNAM,19/09/2022,9.57
B-VIETNAM,20/09/2022,9.64
B-VIETNAM,21/09/2022,9.64
B-VIETNAM,22/09/2022,9.64
B-VIETNAM,23/09/2022,9.60
B-VIETNAM,26/09/2022,9.42
B-VIETNAM,27/09/2022,9.44
B-VIETNAM,28/09/2022,9.39
B-VIETNAM,29/09/2022,9.29
B-VIETNAM,30/09/2022,9.14
B-VIETNAM,03/10/2022,8.86
B-VIETNAM,04/10/2022,8.70
B-VIETNAM,05/10/2022,8.84
B-VIETNAM,06/10/2022,8.63
B-VIETNAM,07/10/2022,8.41
B-VIETNAM,10/10/2022,8.54
B-VIETNAM,11/10/2022,8.26
B-VIETNAM,12/10/2022,8.43
B-VIETNAM,17/10/2022,8.42
B-VIETNAM,18/10/2022,8.49
B-VIETNAM,19/10/2022,8.47
B-VIETNAM,20/10/2022,8.47
B-VIETNAM,21/10/2022,8.18
B-VIETNAM,25/10/2022,7.93
B-VIETNAM,26/10/2022,7.81
B-VIETNAM,27/10/2022,8.07
B-VIETNAM,28/10/2022,8.07
B-VIETNAM,31/10/2022,8.08
B-VIETNAM,01/11/2022,8.10
B-VIETNAM,02/11/2022,7.98
B-VIETNAM,03/11/2022,8.06
B-VIETNAM,04/11/2022,7.83
B-VIETNAM,07/11/2022,7.63
B-VIETNAM,08/11/2022,7.64
B-VIETNAM,09/11/2022,7.58
B-VIETNAM,10/11/2022,7.36
B-VIETNAM,11/11/2022,7.30
B-VIETNAM,14/11/2022,7.21
B-VIETNAM,15/11/2022,6.88
B-VIETNAM,16/11/2022,7.17
B-VIETNAM,17/11/2022,7.43
B-VIETNAM,18/11/2022,7.41
B-VIETNAM,21/11/2022,7.45
B-VIETNAM,22/11/2022,7.42
B-VIETNAM,23/11/2022,7.39
B-VIETNAM,24/11/2022,7.37
B-VIETNAM,25/11/2022,7.52
B-VIETNAM,28/11/2022,7.72
B-VIETNAM,29/11/2022,7.88
B-VIETNAM,30/11/2022,7.99
B-VIETNAM,01/12/2022,7.93
B-VIETNAM,02/12/2022,8.17
B-VIETNAM,06/12/2022,8.18
B-VIETNAM,07/12/2022,8.13
B-VIETNAM,08/12/2022,8.16
B-VIETNAM,09/12/2022,8.29
B-VIETNAM,13/12/2022,8.23
B-VIETNAM,14/12/2022,8.26
B-VIETNAM,15/12/2022,8.40
B-VIETNAM,16/12/2022,8.37
B-VIETNAM,19/12/2022,8.27
B-VIETNAM,20/12/2022,8.09
B-VIETNAM,21/12/2022,8.06
B-VIETNAM,22/12/2022,8.10
B-VIETNAM,23/12/2022,8.16
B-VIETNAM,26/12/2022,7.92
B-VIETNAM,27/12/2022,7.97
B-VIETNAM,28/12/2022,8.06
B-VIETNAM,29/12/2022,8.00
B-VIETNAM,30/12/2022,8.06
B-VIETNAM,03/01/2023,8.22
B-VIETNAM,04/01/2023,8.15
B-VIETNAM,05/01/2023,8.21
B-VIETNAM,06/01/2023,8.22
B-VIETNAM,09/01/2023,8.13
B-VIETNAM,10/01/2023,8.11
B-VIETNAM,11/01/2023,8.06
B-VIETNAM,12/01/2023,8.05
B-VIETNAM,13/01/2023,7.99
B-VIETNAM,16/01/2023,8.02
B-VIETNAM,17/01/2023,8.21
B-VIETNAM,18/01/2023,8.21
B-VIETNAM,19/01/2023,8.27
B-VIETNAM,20/01/2023,8.20
B-VIETNAM,23/01/2023,8.21
B-VIETNAM,24/01/2023,8.22
B-VIETNAM,25/01/2023,8.23
B-VIETNAM,26/01/2023,8.20
B-VIETNAM,27/01/2023,8.35
B-VIETNAM,30/01/2023,8.28
B-VIETNAM,31/01/2023,8.36
B-VIETNAM,01/02/2023,8.12
B-VIETNAM,02/02/2023,8.10
B-VIETNAM,03/02/2023,8.16
B-VIETNAM,06/02/2023,8.32
B-VIETNAM,07/02/2023,8.16
B-VIETNAM,08/02/2023,8.13
B-VIETNAM,09/02/2023,8.08
B-VIETNAM,10/02/2023,8.11
B-VIETNAM,13/02/2023,8.05
B-VIETNAM,14/02/2023,8.02
B-VIETNAM,15/02/2023,8.17
B-VIETNAM,16/02/2023,8.23
B-VIETNAM,17/02/2023,8.24
B-VIETNAM,20/02/2023,8.35
B-VIETNAM,21/02/2023,8.44
B-VIETNAM,22/02/2023,8.25
B-VIETNAM,23/02/2023,8.17
B-VIETNAM,24/02/2023,8.11
B-VIETNAM,27/02/2023,8.00
B-VIETNAM,28/02/2023,8.11
B-VIETNAM,01/03/2023,8.07
B-VIETNAM,02/03/2023,8.09
B-VIETNAM,03/03/2023,7.96
B-VIETNAM,07/03/2023,8.03
B-VIETNAM,08/03/2023,8.18
B-VIETNAM,09/03/2023,8.21
B-VIETNAM,10/03/2023,8.20
B-VIETNAM,13/03/2023,8.11
B-VIETNAM,14/03/2023,8.03
B-VIETNAM,15/03/2023,8.17
B-VIETNAM,16/03/2023,8.04
B-VIETNAM,17/03/2023,7.97
B-VIETNAM,20/03/2023,7.83
B-VIETNAM,21/03/2023,7.93
B-VIETNAM,22/03/2023,8.03
B-VIETNAM,23/03/2023,7.95
B-VIETNAM,24/03/2023,8.00
B-VIETNAM,27/03/2023,8.10
B-VIETNAM,28/03/2023,8.10
B-VIETNAM,29/03/2023,8.07
B-VIETNAM,30/03/2023,8.15
B-VIETNAM,31/03/2023,8.20
B-VIETNAM,03/04/2023,8.34
B-VIETNAM,04/04/2023,8.25
B-VIETNAM,05/04/2023,8.23
B-VIETNAM,07/04/2023,8.22
B-VIETNAM,10/04/2023,8.28
B-VIETNAM,11/04/2023,8.27
B-VIETNAM,12/04/2023,8.28
B-VIETNAM,17/04/2023,8.20
B-VIETNAM,18/04/2023,8.17
B-VIETNAM,19/04/2023,8.25
B-VIETNAM,20/04/2023,8.24
B-VIETNAM,21/04/2023,8.21
B-VIETNAM,24/04/2023,8.24
B-VIETNAM,25/04/2023,8.18
B-VIETNAM,26/04/2023,8.21
B-VIETNAM,27/04/2023,8.23
B-VIETNAM,28/04/2023,8.30
B-VIETNAM,02/05/2023,8.32
B-VIETNAM,03/05/2023,8.27
B-VIETNAM,08/05/2023,8.23
B-VIETNAM,09/05/2023,8.18
B-VIETNAM,10/05/2023,8.23
B-VIETNAM,11/05/2023,8.23
B-VIETNAM,12/05/2023,8.35
B-VIETNAM,15/05/2023,8.30
B-VIETNAM,16/05/2023,8.37
B-VIETNAM,17/05/2023,8.40
B-VIETNAM,18/05/2023,8.47
B-VIETNAM,19/05/2023,8.47
B-VIETNAM,22/05/2023,8.52
B-VIETNAM,23/05/2023,8.53
B-VIETNAM,24/05/2023,8.43
B-VIETNAM,25/05/2023,8.47
B-VIETNAM,26/05/2023,8.49
B-VIETNAM,29/05/2023,8.59
B-VIETNAM,30/05/2023,8.62
B-VIETNAM,31/05/2023,8.58
B-VIETNAM,01/06/2023,8.58
B-VIETNAM,02/06/2023,8.65
TVIETNAM,01/06/2022,10.15
TVIETNAM,02/06/2022,10.09
TVIETNAM,06/06/2022,10.12
TVIETNAM,07/06/2022,10.19
TVIETNAM,08/06/2022,10.35
TVIETNAM,09/06/2022,10.36
TVIETNAM,10/06/2022,10.24
TVIETNAM,13/06/2022,9.76
TVIETNAM,14/06/2022,9.83
TVIETNAM,15/06/2022,9.77
TVIETNAM,17/06/2022,9.86
TVIETNAM,20/06/2022,9.53
TVIETNAM,21/06/2022,9.42
TVIETNAM,22/06/2022,9.44
TVIETNAM,23/06/2022,9.64
TVIETNAM,24/06/2022,9.62
TVIETNAM,27/06/2022,9.68
TVIETNAM,28/06/2022,9.73
TVIETNAM,29/06/2022,9.76
TVIETNAM,30/06/2022,9.61
TVIETNAM,01/07/2022,9.72
TVIETNAM,04/07/2022,9.68
TVIETNAM,05/07/2022,9.58
TVIETNAM,06/07/2022,9.39
TVIETNAM,07/07/2022,9.53
TVIETNAM,08/07/2022,9.57
TVIETNAM,11/07/2022,9.54
TVIETNAM,12/07/2022,9.66
TVIETNAM,14/07/2022,9.75
TVIETNAM,15/07/2022,9.74
TVIETNAM,18/07/2022,9.72
TVIETNAM,19/07/2022,9.70
TVIETNAM,20/07/2022,9.89
TVIETNAM,21/07/2022,10.00
TVIETNAM,22/07/2022,9.90
TVIETNAM,25/07/2022,9.84
TVIETNAM,26/07/2022,9.82
TVIETNAM,27/07/2022,9.89
TVIETNAM,01/08/2022,9.91
TVIETNAM,02/08/2022,10.07
TVIETNAM,03/08/2022,10.17
TVIETNAM,04/08/2022,10.11
TVIETNAM,05/08/2022,9.99
TVIETNAM,08/08/2022,10.07
TVIETNAM,09/08/2022,9.97
TVIETNAM,10/08/2022,10.03
TVIETNAM,11/08/2022,9.86
TVIETNAM,15/08/2022,10.11
TVIETNAM,16/08/2022,10.16
TVIETNAM,17/08/2022,10.16
TVIETNAM,18/08/2022,10.19
TVIETNAM,19/08/2022,10.13
TVIETNAM,22/08/2022,10.23
TVIETNAM,23/08/2022,10.34
TVIETNAM,24/08/2022,10.35
TVIETNAM,25/08/2022,10.40
TVIETNAM,26/08/2022,10.42
TVIETNAM,29/08/2022,10.48
TVIETNAM,30/08/2022,10.45
TVIETNAM,31/08/2022,10.50
TVIETNAM,01/09/2022,10.56
TVIETNAM,02/09/2022,10.56
TVIETNAM,05/09/2022,10.52
TVIETNAM,06/09/2022,10.46
TVIETNAM,09/09/2022,10.10
TVIETNAM,12/09/2022,10.14
TVIETNAM,13/09/2022,10.10
TVIETNAM,14/09/2022,10.17
TVIETNAM,15/09/2022,10.19
TVIETNAM,16/09/2022,10.12
TVIETNAM,19/09/2022,9.84
TVIETNAM,20/09/2022,9.94
TVIETNAM,21/09/2022,9.93
TVIETNAM,22/09/2022,9.99
TVIETNAM,23/09/2022,9.95
TVIETNAM,26/09/2022,9.73
TVIETNAM,27/09/2022,9.68
TVIETNAM,28/09/2022,9.57
TVIETNAM,29/09/2022,9.39
TVIETNAM,30/09/2022,9.32
TVIETNAM,03/10/2022,8.95
TVIETNAM,04/10/2022,8.76
TVIETNAM,05/10/2022,8.94
TVIETNAM,06/10/2022,8.65
TVIETNAM,07/10/2022,8.37
TVIETNAM,10/10/2022,8.61
TVIETNAM,11/10/2022,8.35
TVIETNAM,12/10/2022,8.56
TVIETNAM,17/10/2022,8.65
TVIETNAM,18/10/2022,8.62
TVIETNAM,19/10/2022,8.61
TVIETNAM,20/10/2022,8.57
TVIETNAM,21/10/2022,8.18
TVIETNAM,25/10/2022,7.90
TVIETNAM,26/10/2022,7.76
TVIETNAM,27/10/2022,8.03
TVIETNAM,28/10/2022,8.05
TVIETNAM,31/10/2022,8.07
TVIETNAM,01/11/2022,8.02
TVIETNAM,02/11/2022,7.92
TVIETNAM,03/11/2022,7.99
TVIETNAM,04/11/2022,7.71
TVIETNAM,07/11/2022,7.44
TVIETNAM,08/11/2022,7.52
TVIETNAM,09/11/2022,7.41
TVIETNAM,10/11/2022,7.14
TVIETNAM,11/11/2022,7.00
TVIETNAM,14/11/2022,6.84
TVIETNAM,15/11/2022,6.53
TVIETNAM,16/11/2022,6.84
TVIETNAM,17/11/2022,7.03
TVIETNAM,18/11/2022,7.08
TVIETNAM,21/11/2022,7.10
TVIETNAM,22/11/2022,7.09
TVIETNAM,23/11/2022,7.09
TVIETNAM,24/11/2022,7.06
TVIETNAM,25/11/2022,7.24
TVIETNAM,28/11/2022,7.49
TVIETNAM,29/11/2022,7.64
TVIETNAM,30/11/2022,7.75
TVIETNAM,01/12/2022,7.64
TVIETNAM,02/12/2022,7.92
TVIETNAM,06/12/2022,7.97
TVIETNAM,07/12/2022,7.93
TVIETNAM,09/12/2022,8.08
TVIETNAM,13/12/2022,8.10
TVIETNAM,14/12/2022,8.09
TVIETNAM,15/12/2022,8.24
TVIETNAM,16/12/2022,8.21
TVIETNAM,19/12/2022,8.04
TVIETNAM,20/12/2022,7.90
TVIETNAM,21/12/2022,7.87
TVIETNAM,22/12/2022,7.93
TVIETNAM,23/12/2022,7.95
TVIETNAM,27/12/2022,7.80
TVIETNAM,28/12/2022,7.88
TVIETNAM,29/12/2022,7.80
TVIETNAM,30/12/2022,7.81
TVIETNAM,03/01/2023,8.06
TVIETNAM,04/01/2023,8.02
TVIETNAM,05/01/2023,8.05
TVIETNAM,09/01/2023,7.92
TVIETNAM,10/01/2023,7.93
TVIETNAM,11/01/2023,7.93
TVIETNAM,12/01/2023,7.93
TVIETNAM,13/01/2023,7.84
TVIETNAM,16/01/2023,7.86
TVIETNAM,17/01/2023,8.04
TVIETNAM,18/01/2023,8.08
TVIETNAM,19/01/2023,8.16
TVIETNAM,20/01/2023,8.10
TVIETNAM,23/01/2023,8.10
TVIETNAM,24/01/2023,8.10
TVIETNAM,25/01/2023,8.12
TVIETNAM,26/01/2023,8.08
TVIETNAM,27/01/2023,8.18
TVIETNAM,30/01/2023,8.08
TVIETNAM,31/01/2023,8.20
TVIETNAM,01/02/2023,7.90
TVIETNAM,03/02/2023,7.95
TVIETNAM,06/02/2023,8.10
TVIETNAM,07/02/2023,7.99
TVIETNAM,08/02/2023,7.97
TVIETNAM,09/02/2023,7.91
TVIETNAM,10/02/2023,7.89
TVIETNAM,13/02/2023,7.89
TVIETNAM,14/02/2023,7.88
TVIETNAM,15/02/2023,8.01
TVIETNAM,16/02/2023,8.11
TVIETNAM,17/02/2023,8.15
TVIETNAM,20/02/2023,8.27
TVIETNAM,22/02/2023,8.11
TVIETNAM,23/02/2023,8.09
TVIETNAM,24/02/2023,8.01
TVIETNAM,27/02/2023,7.90
TVIETNAM,28/02/2023,7.98
TVIETNAM,01/03/2023,8.02
TVIETNAM,02/03/2023,8.01
TVIETNAM,03/03/2023,7.89
TVIETNAM,07/03/2023,7.96
TVIETNAM,08/03/2023,8.15
TVIETNAM,09/03/2023,8.19
TVIETNAM,10/03/2023,8.16
TVIETNAM,13/03/2023,8.05
TVIETNAM,14/03/2023,7.94
TVIETNAM,15/03/2023,8.13
TVIETNAM,16/03/2023,7.99
TVIETNAM,17/03/2023,7.94
TVIETNAM,20/03/2023,7.76
TVIETNAM,21/03/2023,7.87
TVIETNAM,22/03/2023,7.94
TVIETNAM,23/03/2023,7.89
TVIETNAM,24/03/2023,7.94
TVIETNAM,27/03/2023,8.04
TVIETNAM,28/03/2023,8.02
TVIETNAM,29/03/2023,8.01
TVIETNAM,30/03/2023,8.05
TVIETNAM,31/03/2023,8.10
TVIETNAM,03/04/2023,8.27
TVIETNAM,04/04/2023,8.26
TVIETNAM,05/04/2023,8.22
TVIETNAM,07/04/2023,8.25
TVIETNAM,10/04/2023,8.23
TVIETNAM,11/04/2023,8.24
TVIETNAM,12/04/2023,8.25
TVIETNAM,17/04/2023,8.15
TVIETNAM,18/04/2023,8.13
TVIETNAM,19/04/2023,8.14
TVIETNAM,20/04/2023,8.13
TVIETNAM,21/04/2023,8.07
TVIETNAM,24/04/2023,8.06
TVIETNAM,25/04/2023,7.99
TVIETNAM,26/04/2023,8.01
TVIETNAM,27/04/2023,7.99
TVIETNAM,28/04/2023,8.06
TVIETNAM,02/05/2023,8.08
TVIETNAM,03/05/2023,8.04
TVIETNAM,08/05/2023,7.99
TVIETNAM,09/05/2023,7.98
TVIETNAM,10/05/2023,8.02
TVIETNAM,11/05/2023,8.02
TVIETNAM,12/05/2023,8.14
TVIETNAM,15/05/2023,8.06
TVIETNAM,17/05/2023,8.15
TVIETNAM,22/05/2023,8.31
TVIETNAM,23/05/2023,8.33
TVIETNAM,24/05/2023,8.24
TVIETNAM,25/05/2023,8.29
TVIETNAM,26/05/2023,8.31
TVIETNAM,30/05/2023,8.45
TVIETNAM,31/05/2023,8.40
PRINCIPAL VNEQ-A,01/06/2022,13.20
PRINCIPAL VNEQ-A,02/06/2022,13.09
PRINCIPAL VNEQ-A,06/06/2022,13.09
PRINCIPAL VNEQ-A,07/06/2022,13.13
PRINCIPAL VNEQ-A,08/06/2022,13.36
PRINCIPAL VNEQ-A,09/06/2022,13.34
PRINCIPAL VNEQ-A,10/06/2022,13.27
PRINCIPAL VNEQ-A,13/06/2022,12.61
PRINCIPAL VNEQ-A,14/06/2022,12.65
PRINCIPAL VNEQ-A,15/06/2022,12.65
PRINCIPAL VNEQ-A,16/06/2022,12.81
PRINCIPAL VNEQ-A,17/06/2022,12.74
PRINCIPAL VNEQ-A,21/06/2022,12.34
PRINCIPAL VNEQ-A,22/06/2022,12.40
PRINCIPAL VNEQ-A,23/06/2022,12.56
PRINCIPAL VNEQ-A,24/06/2022,12.50
PRINCIPAL VNEQ-A,27/06/2022,12.66
PRINCIPAL VNEQ-A,28/06/2022,12.83
PRINCIPAL VNEQ-A,29/06/2022,12.87
PRINCIPAL VNEQ-A,30/06/2022,12.66
PRINCIPAL VNEQ-A,01/07/2022,12.77
PRINCIPAL VNEQ-A,05/07/2022,12.68
PRINCIPAL VNEQ-A,06/07/2022,12.44
PRINCIPAL VNEQ-A,07/07/2022,12.65
PRINCIPAL VNEQ-A,08/07/2022,12.63
PRINCIPAL VNEQ-A,11/07/2022,12.47
PRINCIPAL VNEQ-A,12/07/2022,12.61
PRINCIPAL VNEQ-A,14/07/2022,12.72
PRINCIPAL VNEQ-A,15/07/2022,12.71
PRINCIPAL VNEQ-A,18/07/2022,12.66
PRINCIPAL VNEQ-A,19/07/2022,12.61
PRINCIPAL VNEQ-A,20/07/2022,12.79
PRINCIPAL VNEQ-A,21/07/2022,12.95
PRINCIPAL VNEQ-A,22/07/2022,12.86
PRINCIPAL VNEQ-A,25/07/2022,12.79
PRINCIPAL VNEQ-A,26/07/2022,12.78
PRINCIPAL VNEQ-A,27/07/2022,12.81
PRINCIPAL VNEQ-A,01/08/2022,13.01
PRINCIPAL VNEQ-A,02/08/2022,13.10
PRINCIPAL VNEQ-A,03/08/2022,13.16
PRINCIPAL VNEQ-A,04/08/2022,13.11
PRINCIPAL VNEQ-A,05/08/2022,12.94
PRINCIPAL VNEQ-A,08/08/2022,13.04
PRINCIPAL VNEQ-A,09/08/2022,12.98
PRINCIPAL VNEQ-A,10/08/2022,12.99
PRINCIPAL VNEQ-A,11/08/2022,12.86
PRINCIPAL VNEQ-A,15/08/2022,13.16
PRINCIPAL VNEQ-A,16/08/2022,13.14
PRINCIPAL VNEQ-A,17/08/2022,13.17
PRINCIPAL VNEQ-A,18/08/2022,13.21
PRINCIPAL VNEQ-A,19/08/2022,13.15
PRINCIPAL VNEQ-A,22/08/2022,13.24
PRINCIPAL VNEQ-A,23/08/2022,13.30
PRINCIPAL VNEQ-A,24/08/2022,13.30
PRINCIPAL VNEQ-A,25/08/2022,13.42
PRINCIPAL VNEQ-A,26/08/2022,13.43
PRINCIPAL VNEQ-A,29/08/2022,13.39
PRINCIPAL VNEQ-A,30/08/2022,13.43
PRINCIPAL VNEQ-A,31/08/2022,13.45
PRINCIPAL VNEQ-A,06/09/2022,13.39
PRINCIPAL VNEQ-A,07/09/2022,13.04
PRINCIPAL VNEQ-A,08/09/2022,12.91
PRINCIPAL VNEQ-A,09/09/2022,13.02
PRINCIPAL VNEQ-A,12/09/2022,13.03
PRINCIPAL VNEQ-A,13/09/2022,13.00
PRINCIPAL VNEQ-A,14/09/2022,12.94
PRINCIPAL VNEQ-A,15/09/2022,12.97
PRINCIPAL VNEQ-A,16/09/2022,12.89
PRINCIPAL VNEQ-A,19/09/2022,12.59
PRINCIPAL VNEQ-A,20/09/2022,12.73
PRINCIPAL VNEQ-A,21/09/2022,12.66
PRINCIPAL VNEQ-A,22/09/2022,12.67
PRINCIPAL VNEQ-A,23/09/2022,12.55
PRINCIPAL VNEQ-A,26/09/2022,12.26
PRINCIPAL VNEQ-A,27/09/2022,12.26
PRINCIPAL VNEQ-A,28/09/2022,12.13
PRINCIPAL VNEQ-A,29/09/2022,11.97
PRINCIPAL VNEQ-A,30/09/2022,11.94
PRINCIPAL VNEQ-A,03/10/2022,11.37
PRINCIPAL VNEQ-A,04/10/2022,11.19
PRINCIPAL VNEQ-A,05/10/2022,11.40
PRINCIPAL VNEQ-A,06/10/2022,11.01
PRINCIPAL VNEQ-A,07/10/2022,10.57
PRINCIPAL VNEQ-A,11/10/2022,10.33
PRINCIPAL VNEQ-A,12/10/2022,10.63
PRINCIPAL VNEQ-A,17/10/2022,10.63
PRINCIPAL VNEQ-A,18/10/2022,10.69
PRINCIPAL VNEQ-A,19/10/2022,10.60
PRINCIPAL VNEQ-A,20/10/2022,10.62
PRINCIPAL VNEQ-A,21/10/2022,10.09
PRINCIPAL VNEQ-A,25/10/2022,9.78
PRINCIPAL VNEQ-A,26/10/2022,9.66
PRINCIPAL VNEQ-A,27/10/2022,10.05
PRINCIPAL VNEQ-A,28/10/2022,10.09
PRINCIPAL VNEQ-A,31/10/2022,10.12
PRINCIPAL VNEQ-A,01/11/2022,10.18
PRINCIPAL VNEQ-A,02/11/2022,10.00
PRINCIPAL VNEQ-A,03/11/2022,10.13
PRINCIPAL VNEQ-A,04/11/2022,9.86
PRINCIPAL VNEQ-A,07/11/2022,9.57
PRINCIPAL VNEQ-A,08/11/2022,9.67
PRINCIPAL VNEQ-A,09/11/2022,9.58
PRINCIPAL VNEQ-A,10/11/2022,9.22
PRINCIPAL VNEQ-A,14/11/2022,9.10
PRINCIPAL VNEQ-A,15/11/2022,8.72
PRINCIPAL VNEQ-A,16/11/2022,9.10
PRINCIPAL VNEQ-A,17/11/2022,9.43
PRINCIPAL VNEQ-A,18/11/2022,9.43
PRINCIPAL VNEQ-A,21/11/2022,9.40
PRINCIPAL VNEQ-A,22/11/2022,9.33
PRINCIPAL VNEQ-A,23/11/2022,9.32
PRINCIPAL VNEQ-A,28/11/2022,9.85
